AirDensity                     | System.Single                  |                       1,173737 | Density of air at start/finish line
AirPressure                    | System.Single                  |                          29,92 | Pressure of air at start/finish line
AirTemp                        | System.Single                  |                       25,55556 | Temperature of air at start/finish line
Brake                          | System.Single                  |                              0 | 0=brake released to 1=max pedal force
BrakeABSactive                 | System.Boolean                 |                          False | true if abs is currently reducing brake force pressure
BrakeRaw                       | System.Single                  |                              0 | Raw brake input 0=brake released to 1=max pedal force
CamCameraNumber                | System.Int32                   |                              1 | Active camera number
CamCameraState                 | System.Int32                   |                             83 | State of camera system
CamCarIdx                      | System.Int32                   |                             63 | Active camera's focus car index
CamGroupNumber                 | System.Int32                   |                             28 | Active camera group number
CarLeftRight                   | System.Int32                   |                              0 | Notify if car is to the left or right of driver
ChanAvgLatency                 | System.Single                  |                              0 | Communications average latency
ChanClockSkew                  | System.Single                  |                              0 | Communications server clock skew
ChanLatency                    | System.Single                  |                              0 | Communications latency
ChanPartnerQuality             | System.Single                  |                              0 | Partner communications quality
ChanQuality                    | System.Single                  |                              0 | Communications quality
Clutch                         | System.Single                  |                              0 | 0=disengaged to 1=fully engaged
ClutchRaw                      | System.Single                  |                              0 | Raw clutch input 0=disengaged to 1=fully engaged
CpuUsageBG                     | System.Single                  |                      0,4009993 | Percent of available time bg thread took with a 1 sec avg
CpuUsageFG                     | System.Single                  |                      0,3682269 | Percent of available time fg thread took with a 1 sec avg
dcBrakeBias                    | System.Single                  |                              0 | In car brake bias adjustment
dcDashPage                     | System.Single                  |                              0 | In car dash display page adjustment
DCDriversSoFar                 | System.Int32                   |                              0 | Number of team drivers who have run a stint
DCLapStatus                    | System.Int32                   |                              0 | Status of driver change lap requirements
dcStarter                      | System.Boolean                 |                          False | In car trigger car starter
DisplayUnits                   | iRacingSDK.DisplayUnits        |                EnglishImperial | Default units for the user interface 0 = english 1 = metric
dpFastRepair                   | System.Single                  |                              0 | Pitstop fast repair set
dpFuelAddKg                    | System.Single                  |                              0 | Pitstop fuel add amount
dpFuelFill                     | System.Single                  |                              0 | Pitstop fuel fill flag
dpLFTireColdPress              | System.Single                  |                              0 | Pitstop lf tire cold pressure adjustment
dpLRTireColdPress              | System.Single                  |                              0 | Pitstop lr tire cold pressure adjustment
dpLTireChange                  | System.Single                  |                              0 | Pitstop left tire change request
dpRFTireColdPress              | System.Single                  |                              0 | Pitstop rf cold tire pressure adjustment
dpRRTireColdPress              | System.Single                  |                              0 | Pitstop rr cold tire pressure adjustment
dpRTireChange                  | System.Single                  |                              0 | Pitstop right tire change request
dpWeightJackerLeft             | System.Single                  |                              0 | Pitstop left wedge/weight jacker adjustment
